,First Row Mean,Second Row Mean
Natrpro_GI_neg_3,0.0103578154425612,0.020281690140845
Begin_GI_neg_3,0.0056497175141242,0.0057746478873239
Vary_GI_neg_3,0.0056497175141242,0.0098591549295774
Increas_GI_neg_3,0.0094161958568738,0.0136619718309859
Decreas_GI_neg_3,0.0009416195856873,0.0016901408450704
Finish_GI_neg_3,0.0065913370998116,0.0047887323943661
Stay_GI_neg_3,0.0009416195856873,0.0026760563380281
Rise_GI_neg_3,0.0009416195856873,0.0011267605633802
Exert_GI_neg_3,0.0084745762711864,0.0056338028169014
Fetch_GI_neg_3,0.0056497175141242,0.012394366197183
Travel_GI_neg_3,0.0094161958568738,0.0132394366197183
Fall_GI_neg_3,0.0018832391713747,0.0011267605633802
Think_GI_neg_3,0.0,0.000281690140845
Know_GI_neg_3,0.0546139359698681,0.0354929577464788
Causal_GI_neg_3,0.027306967984934,0.0228169014084507
Ought_GI_neg_3,0.0056497175141242,0.0036619718309859
Perceiv_GI_neg_3,0.0225988700564971,0.0194366197183098
Compare_GI_neg_3,0.0141242937853107,0.0112676056338028
Eval_2_GI_neg_3,0.0056497175141242,0.0022535211267605
Eval_GI_neg_3,0.0225988700564971,0.0207042253521126
Solve_GI_neg_3,0.0536723163841807,0.0649295774647887
Abs_2_GI_neg_3,0.0357815442561205,0.0239436619718309
Abs_GI_neg_3,0.0499058380414312,0.0333802816901408
Quality_GI_neg_3,0.0263653483992467,0.0207042253521126
Quan_GI_neg_3,0.071563088512241,0.0667605633802816
Numb_GI_neg_3,0.0028248587570621,0.0052112676056338
Ord_GI_neg_3,0.0009416195856873,0.0016901408450704
Card_GI_neg_3,0.0018832391713747,0.0035211267605633
Freq_GI_neg_3,0.0122410546139359,0.0070422535211267
Dist_GI_neg_3,0.0,0.0004225352112676
Time_2_GI_neg_3,0.0357815442561205,0.0354929577464788
Time_GI_neg_3,0.0141242937853107,0.0094366197183098
Space_GI_neg_3,0.059322033898305,0.0533802816901408
Pos_GI_neg_3,0.0037664783427495,0.0022535211267605
Dim_GI_neg_3,0.0103578154425612,0.0035211267605633
Rel_GI_neg_3,0.0225988700564971,0.0380281690140845
Color_GI_neg_3,0.0,0.0
Self_GI_neg_3,0.0301318267419962,0.0615492957746478
Our_GI_neg_3,0.0056497175141242,0.002112676056338
You_GI_neg_3,0.0009416195856873,0.0050704225352112
Name_GI_neg_3,0.0056497175141242,0.0011267605633802
Yes_GI_neg_3,0.0037664783427495,0.0047887323943661
No_GI_neg_3,0.0009416195856873,0.0022535211267605
Negate_GI_neg_3,0.0065913370998116,0.0053521126760563
