,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,Cluster_KMeans
Wlbpt_Lasswell,0.0008403361344537799,0.0007860878004961188,0.0026573761850154395,0.0013166534218962776,0
Wlbtot_Lasswell,0.01541396699797971,0.04191739402198178,0.015156320733755254,0.01384704808308018,0
Enlgain_Lasswell,0.03466243650397278,0.023760878899017027,0.021005131090669926,0.009271370070807465,0
Enlloss_Lasswell,0.0,0.0012376505262128813,0.0,0.0024761797102472068,0
Enlends_Lasswell,0.00071942446043165,0.002289890019448775,0.002275019899401697,0.003544488557153553,0
Enlpt_Lasswell,0.0,0.0010249988763368436,0.0,0.0022222780250035884,0
Enloth_Lasswell,0.06439857303523083,0.05836467813296653,0.03134566468137326,0.02106067937717237,0
Enltot_Lasswell,0.08796400281222791,0.07314631974461813,0.03703445417359586,0.022419776822126074,0
Sklasth_Lasswell,0.0005347593582887701,0.000636238896592175,0.0016910575722825557,0.0013889405179723815,0
Sklpt_Lasswell,0.0005347593582887701,0.002588676000134644,0.0016910575722825557,0.00311717486488411,0
Skloth_Lasswell,0.02398148143314282,0.014379853408703526,0.016382951550551784,0.007608254629020654,0
Skltot_Lasswell,0.024516240791431592,0.01651992401790375,0.016948337061437505,0.008396628692320603,0
Trngain_Lasswell,0.026149326695873658,0.010623537112220294,0.019380601147688487,0.004428266029803207,0
Trnloss_Lasswell,0.00795299966987633,0.009297033536483274,0.008053606057840959,0.005779499072167708,0
Tranlw_Lasswell,0.01754517961541838,0.027590042980585927,0.012979886542482735,0.010020934640053252,0
Meanslw_Lasswell,0.00669704044580887,0.010083950251802174,0.009906170897757251,0.0056115379890082475,0
Endslw_Lasswell,0.05276657776413949,0.03992911133658969,0.02282910974115857,0.01196039251308086,0
Arenalw_Lasswell,0.01813726290797221,0.00809438616468058,0.020212957157450646,0.004593635002493397,0
Ptlw_Lasswell,0.04589294733130076,0.03193226323197072,0.036978462924226976,0.014382424140353007,0
Nation_Lasswell,0.0017252918866661599,0.0005371005240512562,0.003638754812696375,0.001034847884658169,0
Anomie_Lasswell,0.0,0.0002069536423841,0.0,0.0008278145695364001,0
Negaff_Lasswell,0.00292750415052572,0.0032516061825904746,0.006986361244599042,0.0036574631001787873,0
Posaff_Lasswell,0.00205996693328566,0.012014116877244876,0.004751289211948401,0.00739985127225197,0
Surelw_Lasswell,0.03551020772176246,0.02602201262258963,0.01806641335728819,0.010770913816674702,0
If_Lasswell,0.016001353116493987,0.020850416006510376,0.014954086194675071,0.010184156209661682,0
Notlw_Lasswell,0.013685658846559878,0.01707965677104433,0.018493584565893843,0.009492771739806241,0
Timespc_Lasswell,0.05950419541882039,0.050456936538314776,0.02003516835240104,0.009826547287570476,0
formlw_Lasswell,0.01990108821733196,0.02435847911668513,0.020291088129536963,0.011362391129663743,0
negative_adjectives_component,0.5843533877848531,0.44789127521366756,1.4132775210646031,0.7103149590275177,1
social_order_component,0.428835517562983,0.49291600969030824,0.1759561838491424,0.09716676928962786,0
action_component,0.4302093310918814,0.47721709084262387,0.17118512125327628,0.06512237497153313,0
positive_adjectives_component,0.009292102603482835,0.15684065199613523,0.32615588868709083,0.177304740745263,0
joy_component,0.615012285578112,0.8909051990461075,0.5186548522035392,0.2905233388256546,1
affect_friends_and_family_component,0.3997962824763699,0.46755983294354886,0.17309594369181516,0.17570011107887848,0
fear_and_digust_component,0.1789442860379621,0.18851109264911944,0.13649854576932186,0.04324946908941693,0
politeness_component,0.22035175592101502,0.09585779455982799,0.1559879596558046,0.041865029764662595,0
polarity_nouns_component,0.8738261234099353,0.6734451373587734,0.3325349071709499,0.18920692338885692,0
polarity_verbs_component,0.34877296332722835,0.4017166152269171,0.2169384188893192,0.19338848214911467,0
virtue_adverbs_component,0.31587905279462425,0.2128781381380407,0.2650987320278846,0.2254454712870741,0
positive_nouns_component,0.025917392659090398,-0.1987440220226246,0.6060592813631901,0.41035240851737914,1
respect_component,0.16070507371838944,0.07462104662824713,0.17707950539104658,0.05935510210504239,0
trust_verbs_component,0.2433855684124226,0.22711096923533408,0.0531407712964104,0.07262378266822252,0
failure_component,0.06314617217561028,0.08410151415348499,0.10494502187895746,0.06182840625733967,0
well_being_component,0.047397009399024706,0.1920289919484306,0.04813482305587959,0.056760984001278735,0
economy_component,0.08798707707743027,0.0784377585061862,0.09346598995564216,0.0670493769080558,0
certainty_component,0.18767689299719853,0.19091809941965387,0.10300158018102401,0.06217015913563837,0
positive_verbs_component,0.2162716069489726,0.36422884514154813,0.6952238798008678,0.47978931238682193,1
objects_component,0.057807961701551704,0.13274780516227003,0.04566980952387235,0.07018280279758762,0
